school_name,ELA Total Students Tested,ELA Percentage Standard Exceeded,ELA Percentage Standard Met,ELA Percentage Standard Met and Above,ELA Percentage Standard Nearly Met,ELA Percentage Standard Not Met
San Francisco County Office of Education District ,7,,,,,
S.F. County Court Woodside Learning Ctr,0,,,,,
S.F. County Opportunity (Hilltop),5,,,,,
S.F. County Civic Center Secondary,0,,,,,
S.F. County Special Education,,,,,,
KIPP Bayview Academy,176,3.98,19.32,23.3,27.84,48.86
KIPP San Francisco Bay Academy,254,7.48,26.38,33.86,27.17,38.98
Five Keys Charter (SF Sheriff's),5,,,,,
Jordan (June) School for Equity,47,2.22,15.56,17.78,17.78,64.44
City Arts & Leadership Academy,113,11.61,37.5,49.11,19.64,31.25
Feinstein (Dianne) Elementary,164,29.45,23.31,52.76,17.18,30.06
Five Keys Independence HS (SF Sheriff's),20,20.0,15.0,35.0,15.0,50.0
S.F. International High,107,1.87,12.15,14.02,21.5,64.49
Academy (The)- SF @McAteer,60,20.0,36.67,56.67,26.67,16.67
Chinese Immersion School at DeAvila,182,57.14,25.27,82.42,11.54,6.04
San Francisco Public Montessori,51,33.33,19.61,52.94,17.65,29.41
Gateway Middle,277,15.88,27.8,43.68,29.24,27.08
Mission Preparatory,310,18.06,27.42,45.48,25.16,29.35
KIPP San Francisco College Preparatory,66,18.18,39.39,57.58,24.24,18.18
Brown Jr. (Willie L) Middle,296,17.01,30.27,47.28,16.67,36.05
Wells (Ida B.) High,20,0.0,15.79,15.79,36.84,47.37
Downtown High,48,0.0,10.64,10.64,17.02,72.34
Independence High,8,,,,,
Wallenberg (Raoul) Traditional High,110,28.44,21.1,49.54,20.18,30.28
Burton (Phillip and Sala) Academic High,226,30.8,32.59,63.39,19.64,16.96
Balboa High,246,31.71,37.8,69.51,20.73,9.76
"Asawa (Ruth) SF Sch of the Arts, A Public School",150,56.76,27.03,83.78,10.14,6.08
Marshall (Thurgood) High,92,2.2,8.79,10.99,16.48,72.53
Life Learning Academy Charter,17,5.88,23.53,29.41,23.53,47.06
Gateway High,122,32.79,36.89,69.67,17.21,13.11
Galileo High,363,36.18,29.91,66.1,17.09,16.81
Lincoln (Abraham) High,476,35.68,30.98,66.67,16.03,17.31
Lowell High,531,57.09,27.41,84.5,10.4,5.1
Mission High,203,4.98,10.95,15.92,11.44,72.64
O'Connell (John) High,18,5.56,11.11,16.67,44.44,38.89
Washington (George) High,421,43.61,35.66,79.28,13.49,7.23
San Francisco Unified District Level Program,10,,,,,
Alamo Elementary,194,43.81,24.23,68.04,16.49,15.46
Alvarado Elementary,233,35.62,25.75,61.37,18.03,20.6
Argonne Elementary,170,39.05,21.89,60.95,21.89,17.16
Carmichael (Bessie)/FEC,328,2.48,12.11,14.6,23.6,61.8
Harte (Bret) Elementary,103,6.8,11.65,18.45,13.59,67.96
Bryant Elementary,113,2.65,9.73,12.39,21.24,66.37
Clarendon Alternative Elementary,253,57.31,19.76,77.08,13.04,9.88
Cleveland Elementary,160,1.88,8.13,10.0,13.75,76.25
Sloat (Commodore) Elementary,189,35.98,27.51,63.49,19.58,16.93
Lau (Gordon J.) Elementary,332,31.02,27.41,58.43,20.48,21.08
Webster (Daniel) Elementary,154,38.96,24.68,63.64,14.29,22.08
Milk (Harvey) Civil Rights Elementary,89,42.7,28.09,70.79,8.99,20.22
Thomas Edison Charter Academy,363,9.92,22.04,31.96,28.93,39.12
Taylor (Edward R.) Elementary,282,25.18,19.86,45.04,15.6,39.36
El Dorado Elementary,50,0.0,16.0,16.0,18.0,66.0
Cobb (William L.) Elementary,52,17.31,23.08,40.38,21.15,38.46
Huerta (Dolores) Elementary,167,18.56,20.36,38.92,19.16,41.92
Key (Francis Scott) Elementary,269,45.72,26.77,72.49,14.87,12.64
McCoppin (Frank) Elementary,103,30.1,25.24,55.34,21.36,23.3
Garfield Elementary,72,31.94,27.78,59.72,19.44,20.83
Peabody (George) Elementary,128,57.03,23.44,80.47,12.5,7.03
Glen Park Elementary,139,17.99,18.71,36.69,19.42,43.88
Grattan Elementary,182,43.41,29.12,72.53,12.09,15.38
Guadalupe Elementary,133,9.02,15.04,24.06,21.05,54.89
Yick Wo Elementary,82,37.8,29.27,67.07,15.85,17.07
Chavez (Cesar) Elementary,194,2.58,10.31,12.89,19.59,67.53
