school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,Enrollment,equity_score_lmodel,excellence_score_lmodel,efficiency_score_lmodel,composite_score_lmodel,equity_score_pmodel,excellence_score_pmodel,efficiency_score_pmodel,composite_score_pmodel
Washington (George) High,72.91,81,52,98,2091,64.22366687462586,32.63946700539623,83.53823440270581,61.15625878933844,77.46225590222244,37.763095018450585,93.1051158684024,71.44818067282446
Presidio Middle,51.16,52,44,94,996,41.23000836395734,27.618010543027577,80.12851054953416,47.5516344551191,45.27053178757072,29.445840357975726,80.3478754231295,50.083694839061664
Lafayette Elementary,23.61,7,96,48,468,5.550193433609643,60.25747754842381,40.91668623805999,28.06863766342577,3.984174034384843,94.10182219226557,7.461076401324271,27.382811665589884
Alamo Elementary,14.13,6,74,35,390,4.757308657379693,46.44847227691002,29.835083715252082,21.44954332673037,3.305243035329218,63.86424169273626,2.441900798468587,18.22915714046582
Argonne Elementary,11.46,4,75,40,389,3.171539104919795,47.0761543347061,34.09723853171666,21.879117769065587,2.022054751044735,65.15371902829034,3.915613587052151,18.27836052935799
Francisco Middle,58.93,99,27,28,502,78.49559284676492,16.947415560494196,23.868066972201664,49.451667056556424,98.7893564352181,14.229109162222715,1.1092608382202873,53.2292707177198
Chin (John Yehall) Elementary,50.03,33,94,88,232,26.16519761558831,59.00211343283165,75.01392476977665,46.58660835844623,26.089876859683148,91.19721259744638,63.63249726765379,51.752365896116615
Garfield Elementary,32.92,30,50,81,182,23.78654328689846,31.384102889804065,69.04690802672624,37.00102437258181,23.243790016585823,35.62060214566453,47.46610980372746,32.39357299564091
Yick Wo Elementary,15.97,12,61,38,217,9.514617314759386,38.28860552556096,32.39237660513082,22.42755419005264,7.6565132371771,47.89715464778732,3.266072161535432,16.61906332091924
Parker (Jean) Elementary,13.88,24,56,3,123,19.029234629518772,35.15019523658056,2.5572928898787493,18.941489346374215,17.736122374199056,42.16941079027382,0.00041188705123001664,19.41051685643079
