school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,enrollment,equity_score_p,excellence_score_p,efficiency_score_p,composite_score_p,district,supervisor,asian_students,african_american_students,not_reported_students,filipino_students,hispanic_or_latino_students,two_or_more_races_students,white_students,pacific_islander_students,american_indian_or_alaska_native_students,asian_percent,african_american_percent,not_reported_percent,filipino_percent,hispanic_or_latino_percent,two_or_more_races_percent,white_percent,pacific_islander_percent,american_indian_or_alaska_native_percent,replacement_costs_in_years_1—5,overall_campus_fci,building_fci,exterior_site_fci,electrical_system,equipment,exterior_enclosure,fire_protection,furnishings,hvac_system,student_enrollment,enrollment_capacity,bond_investments_since_2003,classrooms,lot_sq_ft,year_built,building_sq_ft,primary_program,latitude,longitude,ela_total_students_tested,ela_percentage_standard_exceeded,ela_percentage_standard_met,ela_percentage_standard_met_and_above,ela_percentage_standard_nearly_met,ela_percentage_standard_not_met,math_total_students_tested,math_percentage_standard_exceeded,math_percentage_standard_met,math_percentage_standard_met_and_above,math_percentage_standard_nearly_met,math_percentage_standard_not_met,science_total_students_tested,science_percentage_standard_exceeded,science_percentage_standard_met,science_percentage_standard_met_and_above,science_percentage_standard_nearly_met,science_percentage_standard_not_met,composite_rank,equal_weighted_composite_score,composite_score_change,equal_weighted_composite_rank,composite_rank_change
Lowell High,90.97,60,88,100,2593,45.071662806109664,70.5317609225514,100.0,65.16877163369269,7,Myrna Melgar,1185,66,68,145,450,210,409,4,3,46.653543307086615,2.5984251968503935,2.677165354330709,5.708661417322835,17.716535433070867,8.267716535433072,16.10236220472441,0.15748031496062992,0.11811023622047244,32726196,0.2,0.2,0.18,0.55,,,0.0,0.08,,2652,2661,22578221,99,1189188,1970,245000,HS,37.73101918862761,-122.48360740396032,531,57.09,27.41,84.5,10.4,5.1,525,40.38,25.9,66.29,19.24,14.48,532,23.5,39.1,62.59,34.96,2.44,99,71.86780790955368,19.102192090446323,100,1
Roosevelt Middle,74.97,78,78,96,659,60.23685712108983,58.989503676945176,86.00898107933983,66.36804974961616,2,Catherine Stefani,318,26,33,11,70,67,129,2,1,48.401826484018265,3.95738203957382,5.0228310502283104,1.67427701674277,10.6544901065449,10.197869101978691,19.63470319634703,0.30441400304414,0.15220700152207,14388157,0.2,0.2,0.19,0.18,0.08,,,,,670,682,11051694,32,94469,1928,121000,MS,37.78228713657927,-122.45886816971824,625,36.48,37.92,74.4,15.84,9.76,621,38.23,23.39,61.61,21.61,16.77,217,21.66,32.72,54.38,41.01,4.61,98,68.41178062579161,6.558219374208392,99,1
Yu (Alice Fong) Elementary,66.85,69,98,78,595,52.182941920544714,93.06135537874931,58.98938641683017,64.10415640916722,4,Joel Engardio,352,33,42,18,29,83,29,,3,59.7623089983022,5.602716468590832,7.130730050933787,3.0560271646859083,4.923599320882852,14.091680814940577,4.923599320882852,,0.5093378607809848,6768445,0.21,0.23,0.02,0.41,0.81,0.02,0.0,0.67,,586,594,4378810,24,78007,1995,42978,ES,37.759395869069465,-122.469280770054,390,53.85,28.21,82.05,13.33,4.62,389,54.76,22.11,76.86,15.42,7.71,128,35.94,28.91,64.84,35.16,0.0,94,68.0778945720414,-1.2278945720414072,98,4
Burton (Phillip and Sala) Academic High,69.96,97,60,85,1053,90.41924085090017,43.82430936196629,66.59900734725406,72.81544960275517,10,Shamann Walton,321,92,17,105,414,41,18,20,3,31.134820562560623,8.923375363724539,1.6488845780795343,10.184287099903006,40.15518913676043,3.976721629485936,1.7458777885548011,1.939864209505335,0.2909796314258002,30758948,0.19,0.18,0.3,0.35,0.08,0.08,0.8,0.11,,1144,1228,16676468,70,774000,1961,230000,HS,37.72064224917534,-122.40514994536704,226,30.8,32.59,63.39,19.64,16.96,219,12.84,17.43,30.28,19.72,50.0,225,13.78,30.22,44.0,44.89,11.11,96,66.94751918670684,3.012480813293152,97,1
Wallenberg (Raoul) Traditional High,68.34,75,80,92,528,57.39770112629181,60.99981921872199,76.92700650655331,63.18055699446473,5,Dean Preston,203,52,13,19,128,43,89,3,1,36.84210526315789,9.43738656987296,2.35934664246824,3.4482758620689653,23.23049001814882,7.80399274047187,16.152450090744104,0.5444646098003629,0.18148820326678766,9577470,0.22,0.24,0.01,0.31,0.24,0.24,0.17,0.17,,636,686,15139396,26,144184,1951,62840,HS,37.780136343867866,-122.44581638553586,110,28.44,21.1,49.54,20.18,30.28,107,22.43,19.63,42.06,14.02,43.93,117,11.11,25.64,36.75,41.03,22.22,95,65.10817561718903,3.23182438281097,96,1
Washington (George) High,72.91,81,52,98,2091,63.294782930684526,37.85113793994032,93.06123811863424,64.37548547998591,1,Connie Chan,1018,87,69,62,370,126,262,11,3,50.69721115537848,4.3326693227091635,3.436254980079681,3.087649402390438,18.426294820717132,6.274900398406374,13.047808764940239,0.5478087649402391,0.14940239043824702,18427650,0.14,0.12,0.27,0.12,0.0,0.0,0.41,0.41,,2068,2101,97404162,100,679002,1936,247800,HS,37.77776513514641,-122.4920162569626,421,43.61,35.66,79.28,13.49,7.23,407,29.6,28.61,58.21,23.13,18.66,366,9.92,34.99,44.9,46.56,8.54,97,64.73571966308636,8.17428033691364,95,-2
Galileo High,91.88,100,58,62,1781,100.0,42.31252165760374,45.35514662260764,71.91691707005285,3,Aaron Peskin,772,94,33,90,506,73,163,8,2,44.34233199310741,5.399195864445721,1.8954623779437105,5.1694428489373925,29.063756461803564,4.192992533026995,9.362435381964389,0.4595060310166571,0.11487650775416428,83385883,0.45,0.46,0.38,1.09,0.27,0.19,,1.09,1.08,1877,1942,19686471,88,211200,1925,242400,HS,37.80337077587433,-122.42407194109438,363,36.18,29.91,66.1,17.09,16.81,371,25.27,26.09,51.36,17.39,31.25,328,15.03,34.66,49.69,38.96,11.35,100,62.55588942673712,29.324110573262878,94,-6
Balboa High,62.04,98,24,89,1262,94.30870882289688,15.676146782992987,71.98088229130866,69.06861168002385,11,Ahsha Safaí,545,68,24,85,410,52,41,24,2,43.56514788169464,5.435651478816946,1.9184652278177456,6.794564348521183,32.77378097521982,4.156674660271783,3.277378097521982,1.9184652278177456,0.15987210231814547,83040670,0.53,0.54,0.17,1.03,1.07,0.34,1.19,0.74,1.16,1262,1296,23128311,70,446040,1928,261700,HS,37.72090470021601,-122.44057057864325,246,31.71,37.8,69.51,20.73,9.76,256,15.23,28.52,43.75,25.39,30.86,259,6.56,34.75,41.31,52.51,6.18,92,60.65524596573284,1.3847540342671607,93,1
Clarendon Alternative Elementary,49.1,27,93,93,536,19.646513969916967,78.84711938276344,78.84700212264838,49.24678736131143,7,Myrna Melgar,149,17,31,11,61,121,139,,,28.166351606805296,3.213610586011342,5.8601134215500945,2.0793950850661624,11.531190926275993,22.873345935727787,26.27599243856333,,,3096103,0.09,0.08,0.14,0.1,0.27,0.0,0.11,0.34,,511,542,24936649,27,135036,1961,57410,ES,37.75153161414221,-122.45653215977929,253,57.31,19.76,77.08,13.04,9.88,251,42.63,29.48,72.11,13.55,14.34,83,31.33,39.76,71.08,21.69,7.23,77,59.113545158442925,-10.013545158442923,92,15
Chin (John Yehall) Elementary,50.03,33,94,88,232,24.701591034033346,80.95880364866167,70.53164366243638,50.223407344791184,3,Aaron Peskin,207,2,8,7,11,3,15,,,81.81818181818183,0.7905138339920948,3.1620553359683794,2.766798418972332,4.3478260869565215,1.185770750988142,5.928853754940711,,,748045,0.05,0.0,0.48,0.0,,0.0,0.0,0.0,,265,275,14677730,12,27557,1914,27415,ES,37.79843150533134,-122.4026695214984,137,68.61,20.44,89.05,8.76,2.19,138,63.04,23.91,86.96,10.87,2.17,46,26.09,34.78,60.87,34.78,4.35,81,58.730679448377124,-8.700679448377123,91,10
