longitude,latitude,school_name,composite_score,composite_score_rank,equity_rank,excellence_rank,efficiency_rank,Asian,AfricanAmerican,NotReported,Filipino,HispanicorLatino,TwoorMoreRaces,White,PacificIslander,AmericanIndianorAlaskaNative
-122.42552658579234,37.71990946393328,Jordan (June) School for Equity,35.23,53,89,26,1,4.368932038834951,8.737864077669903,2.912621359223301,4.854368932038835,71.35922330097088,4.368932038834951,1.4563106796116505,1.9417475728155338,
-122.48185143654058,37.73995488947333,Feinstein (Dianne) Elementary,8.85,0,5,55,56,34.9869451697128,2.3498694516971277,4.960835509138381,3.3942558746736298,10.443864229765012,10.704960835509137,33.15926892950392,,
-122.40118462319953,37.76159997569698,S.F. International High,55.71,90,77,68,51,10.459183673469388,0.5102040816326531,0.7653061224489796,0.7653061224489796,82.39795918367348,,5.1020408163265305,,
-122.45118624031188,37.745563387395805,Academy (The)- SF @McAteer,53.99,86,96,25,57,12.075471698113208,13.584905660377359,2.2641509433962264,5.660377358490567,46.79245283018868,6.7924528301886795,12.075471698113208,0.7547169811320755,
-122.4443092429118,37.76944521095362,Chinese Immersion School at DeAvila,34.1,50,41,48,36,75.13089005235602,1.0471204188481675,4.973821989528796,0.5235602094240838,4.973821989528796,9.162303664921465,4.18848167539267,,
-122.4336109515773,37.79264848048922,San Francisco Public Montessori,21.61,18,20,82,10,4.464285714285714,14.285714285714285,10.714285714285714,0.8928571428571428,26.785714285714285,14.285714285714285,26.785714285714285,1.7857142857142856,
-122.39987395575514,37.73587776631251,Brown Jr. (Willie L) Middle,33.99,48,48,29,69,2.8753993610223643,22.683706070287542,5.431309904153355,3.5143769968051117,29.712460063897762,11.821086261980831,19.808306709265175,3.8338658146964857,0.3194888178913738
-122.43440086147888,37.7753684143143,Wells (Ida B.) High,41.7,67,85,5,73,11.731843575418994,17.318435754189945,1.675977653631285,0.5586592178770949,55.3072625698324,5.027932960893855,7.262569832402235,1.1173184357541899,
-122.40407572319316,37.7609687333769,Downtown High,46.85,72,72,45,50,4.081632653061225,19.727891156462583,2.7210884353741496,0.6802721088435374,59.863945578231295,6.802721088435375,1.3605442176870748,4.081632653061225,0.6802721088435374
-122.46403141372616,37.76318388527381,Independence High,43.58,69,82,7,84,7.614213197969544,15.228426395939088,2.5380710659898478,2.5380710659898478,31.979695431472084,12.690355329949238,26.903553299492383,,0.5076142131979695
-122.44581638553586,37.780136343867866,Wallenberg (Raoul) Traditional High,68.34,95,75,80,92,36.84210526315789,9.43738656987296,2.35934664246824,3.4482758620689653,23.23049001814882,7.80399274047187,16.152450090744104,0.5444646098003629,0.18148820326678766
-122.40514994536704,37.72064224917534,Burton (Phillip and Sala) Academic High,69.96,96,97,60,85,31.134820562560623,8.923375363724539,1.6488845780795343,10.184287099903006,40.15518913676043,3.976721629485936,1.7458777885548011,1.939864209505335,0.2909796314258002
-122.44057057864325,37.72090470021601,Balboa High,62.04,92,98,24,89,43.56514788169464,5.435651478816946,1.9184652278177456,6.794564348521183,32.77378097521982,4.156674660271783,3.277378097521982,1.9184652278177456,0.15987210231814547
-122.40188068225063,37.735720813602995,Marshall (Thurgood) High,44.18,70,95,35,6,7.127882599580712,7.756813417190776,0.8385744234800839,1.6771488469601679,78.19706498951781,2.3060796645702304,0.8385744234800839,0.41928721174004197,0.8385744234800839
-122.42407194109438,37.80337077587433,Galileo High,91.88,100,100,58,62,44.34233199310741,5.399195864445721,1.8954623779437105,5.1694428489373925,29.063756461803564,4.192992533026995,9.362435381964389,0.4595060310166571,0.11487650775416428
-122.48119606894068,37.745942486979686,Lincoln (Abraham) High,62.09,93,83,22,97,45.06627393225332,4.810996563573884,2.258222876779578,3.0927835051546393,28.031418753068237,5.645557191948945,9.965635738831615,0.9327442317133039,0.19636720667648502
-122.48360740396032,37.73101918862761,Lowell High,90.97,99,60,88,100,46.653543307086615,2.5984251968503935,2.677165354330709,5.708661417322835,17.716535433070867,8.267716535433072,16.10236220472441,0.15748031496062992,0.11811023622047244
-122.42729219999887,37.76140939168266,Mission High,54.86,89,93,33,59,4.3357933579335795,12.177121771217712,1.9372693726937271,2.121771217712177,68.81918819188192,2.859778597785978,7.380073800738007,0.09225092250922509,0.27675276752767525
-122.41468526503768,37.75962548276749,O'Connell (John) High,36.82,57,92,11,9,1.2422360248447204,9.937888198757763,2.2774327122153206,3.9337474120082816,73.08488612836439,3.1055900621118013,4.554865424430641,0.8281573498964804,1.0351966873706004
-122.4920162569626,37.77776513514641,Washington (George) High,72.91,97,81,52,98,50.69721115537848,4.3326693227091635,3.436254980079681,3.087649402390438,18.426294820717132,6.274900398406374,13.047808764940239,0.5478087649402391,0.14940239043824702
-122.482726605361,37.7830336005652,Alamo Elementary,14.13,5,6,74,35,33.078880407124686,1.2722646310432568,6.870229007633588,2.5445292620865136,15.012722646310433,12.213740458015266,29.00763358778626,,
-122.43863804589456,37.7534995512209,Alvarado Elementary,34.51,52,32,79,31,2.7027027027027026,0.9652509652509652,4.826254826254826,0.5791505791505791,48.26254826254826,12.741312741312742,29.343629343629345,0.3861003861003861,0.19305019305019305
-122.47678382407172,37.77515870891051,Argonne Elementary,11.46,1,4,75,40,32.065217391304344,3.260869565217391,8.967391304347826,3.532608695652174,11.684782608695652,10.597826086956522,29.347826086956523,0.5434782608695652,
-122.4066920106772,37.775911934571184,Carmichael (Bessie)/FEC,27.76,31,90,0,20,6.642728904847396,17.235188509874327,7.5403949730700175,22.44165170556553,28.725314183123878,7.360861759425494,8.43806104129264,0.8976660682226212,0.718132854578097
-122.38887404272948,37.71858406271639,Harte (Bret) Elementary,48.91,76,91,40,16,0.8097165991902834,17.813765182186234,5.263157894736842,0.8097165991902834,61.1336032388664,4.8582995951417,0.8097165991902834,8.502024291497975,
-122.40544870287414,37.75171853149067,Bryant Elementary,31.53,42,70,18,17,,5.416666666666667,4.166666666666666,,87.91666666666667,0.4166666666666667,1.6666666666666667,,0.4166666666666667
-122.45653215977929,37.75153161414221,Clarendon Alternative Elementary,49.1,77,27,93,93,28.166351606805296,3.213610586011342,5.8601134215500945,2.0793950850661624,11.531190926275993,22.873345935727787,26.27599243856333,,
-122.42900756648449,37.72075961289943,Cleveland Elementary,25.45,26,38,6,80,2.287581699346405,1.6339869281045754,3.9215686274509802,3.594771241830065,84.9673202614379,1.9607843137254901,0.32679738562091504,0.9803921568627451,0.32679738562091504
-122.4709590558278,37.73186630942314,Sloat (Commodore) Elementary,25.42,25,29,72,11,48.29396325459317,3.149606299212598,3.937007874015748,4.4619422572178475,10.761154855643044,8.398950131233596,20.99737532808399,,
-122.40833061631088,37.79406565801003,Lau (Gordon J.) Elementary,36.7,56,36,54,55,88.0,0.46153846153846156,3.076923076923077,0.7692307692307693,5.384615384615385,1.5384615384615385,0.7692307692307693,,
-122.39625483561024,37.76049122743382,Webster (Daniel) Elementary,48.04,74,50,67,75,6.179775280898876,6.460674157303371,3.089887640449438,2.528089887640449,41.29213483146067,10.393258426966293,29.775280898876407,,0.2808988764044944
-122.43634758218025,37.759141516310706,Milk (Harvey) Civil Rights Elementary,21.5,17,9,73,71,0.6493506493506493,14.285714285714285,4.545454545454546,,20.77922077922078,12.987012987012985,45.45454545454545,1.2987012987012987,
-122.40729799771124,37.72793512798768,Taylor (Edward R.) Elementary,24.47,23,53,38,5,52.89115646258503,2.7210884353741496,2.380952380952381,2.5510204081632653,35.204081632653065,3.4013605442176873,0.3401360544217687,0.5102040816326531,
-122.40694669675878,37.71873580559367,El Dorado Elementary,20.32,16,45,4,44,7.317073170731707,17.073170731707318,6.504065040650407,4.0650406504065035,45.52845528455284,5.691056910569105,3.2520325203252036,10.569105691056912,
-122.43919286261844,37.788165219525865,Cobb (William L.) Elementary,49.82,78,44,99,34,5.839416058394161,32.11678832116788,5.109489051094891,1.4598540145985401,32.11678832116788,10.218978102189782,12.408759124087592,0.7299270072992701,
-122.42558898186712,37.74063100307882,Huerta (Dolores) Elementary,48.75,75,47,69,76,1.574803149606299,1.3123359580052494,2.099737532808399,0.7874015748031495,69.81627296587926,6.561679790026247,17.84776902887139,,
-122.50246841730429,37.75811097197726,Key (Francis Scott) Elementary,12.29,2,0,84,68,42.34875444839858,0.3558718861209964,3.7366548042704624,4.092526690391459,9.9644128113879,10.676156583629894,28.825622775800714,,
-122.4640163560572,37.776281439869706,McCoppin (Frank) Elementary,19.41,14,1,86,90,29.338842975206614,2.479338842975207,6.198347107438017,3.3057851239669422,19.00826446280992,14.87603305785124,23.96694214876033,,0.8264462809917356
-122.40715906120435,37.80171345471848,Garfield Elementary,32.92,45,30,50,81,38.7434554973822,9.424083769633508,4.712041884816754,4.712041884816754,17.277486910994764,16.230366492146597,8.900523560209423,,
-122.464560963371,37.78384623463671,Peabody (George) Elementary,15.6,9,2,100,30,24.814814814814813,1.1111111111111112,7.777777777777778,4.074074074074074,10.0,14.444444444444443,37.407407407407405,0.3703703703703704,
-122.43601353627037,37.733082895586335,Glen Park Elementary,26.56,29,35,30,54,2.803738317757009,6.230529595015576,4.049844236760125,1.8691588785046727,49.84423676012461,9.657320872274143,25.233644859813083,,0.3115264797507788
-122.45050890493246,37.76385396774208,Grattan Elementary,14.65,7,10,71,29,7.552083333333333,4.166666666666666,6.770833333333333,0.78125,15.364583333333334,16.666666666666664,48.69791666666667,,
-122.434345605958,37.710374586372154,Guadalupe Elementary,40.43,63,57,47,42,9.31899641577061,1.4336917562724014,5.017921146953405,6.451612903225806,73.11827956989248,0.35842293906810035,2.5089605734767026,1.7921146953405016,
-122.41629040654824,37.8018929168731,Yick Wo Elementary,15.97,10,12,61,38,32.1608040201005,5.527638190954774,11.055276381909549,1.507537688442211,13.06532663316583,13.5678391959799,23.115577889447238,,
-122.41535877160952,37.75521689516904,Chavez (Cesar) Elementary,29.96,38,49,39,25,,2.67639902676399,3.1630170316301705,,90.75425790754258,1.70316301703163,1.4598540145985401,0.24330900243309003,
-122.41822113003316,37.72895333743526,Hillcrest Elementary,16.0,11,43,8,18,12.804878048780488,9.75609756097561,3.048780487804878,5.7926829268292686,64.32926829268293,2.4390243902439024,0.6097560975609756,1.2195121951219512,
-122.4112944976476,37.797387892277584,Parker (Jean) Elementary,13.88,4,24,56,3,64.0,9.6,3.2,0.8,11.200000000000001,5.6000000000000005,4.8,,0.8
-122.47634790480288,37.76353826232173,Jefferson Elementary,17.61,12,11,83,27,51.39442231075697,0.796812749003984,5.378486055776892,1.394422310756972,8.167330677290837,11.354581673306772,21.51394422310757,,
-122.4290639947381,37.773984647336306,Muir (John) Elementary,49.99,80,64,85,19,1.7699115044247788,20.353982300884958,3.5398230088495577,,61.94690265486725,4.424778761061947,7.52212389380531,0.4424778761061947,
-122.46629112414767,37.71617163092907,Ortega (Jose) Elementary,44.27,71,42,57,86,59.62566844919787,4.81283422459893,2.6737967914438503,5.614973262032086,11.76470588235294,10.427807486631016,4.81283422459893,,0.267379679144385
-122.42113406433587,37.736722135295736,Serra (Junipero) Elementary,40.12,62,39,46,82,7.307692307692308,4.615384615384616,5.0,1.9230769230769231,71.92307692307692,4.230769230769231,3.8461538461538463,1.153846153846154,
