longitude,latitude,school_name,composite_score,composite_score_rank,equity_rank,excellence_rank,efficiency_rank
-122.4920162569626,37.77776513514641,Washington (George) High,72.91,97,81,52,98
-122.49009317886367,37.78084198959016,Presidio Middle,51.16,83,52,44,94
-122.49686447654231,37.77754826585323,Lafayette Elementary,23.61,20,7,96,48
-122.482726605361,37.7830336005652,Alamo Elementary,14.13,5,6,74,35
-122.47678382407172,37.77515870891051,Argonne Elementary,11.46,1,4,75,40
-122.41167118412773,37.80478532894563,Francisco Middle,58.93,91,99,27,28
-122.4026695214984,37.79843150533134,Chin (John Yehall) Elementary,50.03,81,33,94,88
-122.40715906120435,37.80171345471848,Garfield Elementary,32.92,45,30,50,81
-122.41629040654824,37.8018929168731,Yick Wo Elementary,15.97,10,12,61,38
-122.4112944976476,37.797387892277584,Parker (Jean) Elementary,13.88,4,24,56,3
-122.42407194109438,37.80337077587433,Galileo High,91.88,100,100,58,62
-122.41893504778466,37.79440095639586,Spring Valley Elementary,25.72,28,46,41,12
-122.41920931918712,37.78972790944539,Redding Elementary,25.47,27,40,14,65
-122.4290639947381,37.773984647336306,Muir (John) Elementary,49.99,80,64,85,19
-122.43440086147888,37.7753684143143,Wells (Ida B.) High,41.7,67,85,5,73
-122.4443092429118,37.76944521095362,Chinese Immersion School at DeAvila,34.1,50,41,48,36
-122.4503123329066,37.77429955155651,New Traditions Elementary,23.72,21,14,81,41
-122.45050890493246,37.76385396774208,Grattan Elementary,14.65,7,10,71,29
-122.44057057864325,37.72090470021601,Balboa High,62.04,92,98,24,89
-122.45911120010862,37.714337537213225,Sheridan Elementary,54.8,88,61,92,33
-122.44732972216502,37.71056829720709,Longfellow Elementary,50.56,82,55,66,77
-122.43005207799968,37.72537212555869,Monroe Elementary,40.53,64,34,49,91
-122.434345605958,37.710374586372154,Guadalupe Elementary,40.43,63,57,47,42
-122.42552658579234,37.71990946393328,Jordan (June) School for Equity,35.23,53,89,26,1
-122.44285584648104,37.7218086904258,Denman (James) Middle,32.11,44,76,10,23
-122.44878663237712,37.73029282037368,Sunnyside Elementary,31.5,41,13,95,63
-122.42900756648449,37.72075961289943,Cleveland Elementary,25.45,26,38,6,80
-122.43258932382328,37.72580994194931,San Francisco Community Alternative,18.61,13,28,34,43
-122.469280770054,37.759395869069465,Yu (Alice Fong) Elementary,66.85,94,69,98,78
-122.49700241240988,37.75140344277872,Giannini (A.P.) Middle,49.9,79,26,63,99
-122.46403141372616,37.76318388527381,Independence High,43.58,69,82,7,84
-122.48955741829276,37.75795803391185,Lawton Alternative,36.84,58,21,76,79
-122.47634790480288,37.76353826232173,Jefferson Elementary,17.61,12,11,83,27
-122.50246841730429,37.75811097197726,Key (Francis Scott) Elementary,12.29,2,0,84,68
-122.38887404272948,37.71858406271639,Harte (Bret) Elementary,48.91,76,91,40,16
-122.40188068225063,37.735720813602995,Marshall (Thurgood) High,44.18,70,95,35,6
-122.38633118182992,37.73237419571336,Carver (George Washington) Elementary,41.76,68,88,36,8
-122.39351506232708,37.731744844556715,Drew (Charles) College Preparatory Academy,34.05,49,71,19,22
-122.39987395575514,37.73587776631251,Brown Jr. (Willie L) Middle,33.99,48,48,29,69
-122.38059762636192,37.73372201757104,Malcolm X Academy,30.24,39,94,12,0
-122.46624193303064,37.73016920293651,Aptos Middle,51.87,85,73,53,64
-122.45026719433169,37.7392728062415,Miraloma Elementary,36.52,55,17,97,70
-122.46467704980518,37.74354578152372,West Portal Elementary,28.03,32,22,65,46
-122.4709590558278,37.73186630942314,Sloat (Commodore) Elementary,25.42,25,29,72,11
-122.41899409200204,37.766668747507254,Marshall Elementary,38.32,59,84,20,15
-122.4066920106772,37.775911934571184,Carmichael (Bessie)/FEC,27.76,31,90,0,20
-122.40118462319953,37.76159997569698,S.F. International High,55.71,90,77,68,51
-122.39625483561024,37.76049122743382,Webster (Daniel) Elementary,48.04,74,50,67,75
-122.40407572319316,37.7609687333769,Downtown High,46.85,72,72,45,50
-122.39878596811064,37.75260483906197,King (Thomas Starr) Elementary,41.53,66,63,42,53
-122.44581638553586,37.780136343867866,Wallenberg (Raoul) Traditional High,68.34,95,75,80,92
-122.43919286261844,37.788165219525865,Cobb (William L.) Elementary,49.82,78,44,99,34
-122.4336109515773,37.79264848048922,San Francisco Public Montessori,21.61,18,20,82,10
-122.43029657384652,37.78353180853321,Parks (Rosa) Elementary,19.84,15,68,13,2
-122.40833061631088,37.79406565801003,Lau (Gordon J.) Elementary,36.7,56,36,54,55
-122.41942803923894,37.782055182511215,Tenderloin Community,26.73,30,74,15,7
-122.48119606894068,37.745942486979686,Lincoln (Abraham) High,62.09,93,83,22,97
-122.47030783096552,37.74536119347124,Hoover (Herbert) Middle,47.8,73,56,23,95
-122.49992579436277,37.73729056449423,Ulloa Elementary,29.41,35,19,70,72
-122.49229212896095,37.74884955200821,Stevenson (Robert Louis) Elementary,24.04,22,8,90,60
-122.49980957731788,37.750880618669385,Sunset Elementary,14.35,6,3,91,32
-122.48185143654058,37.73995488947333,Feinstein (Dianne) Elementary,8.85,0,5,55,56
-122.4197720686568,37.75370925737502,Buena Vista/ Horace Mann K-8,54.62,87,86,43,66
-122.42113406433587,37.736722135295736,Serra (Junipero) Elementary,40.12,62,39,46,82
-122.4123083198656,37.75621898833373,Moscone (George R.) Elementary,39.65,61,54,51,39
-122.41468526503768,37.75962548276749,O'Connell (John) High,36.82,57,92,11,9
-122.4131376828454,37.737104791509694,Revere (Paul) Elementary,34.15,51,80,2,45
-122.41205083467396,37.74818734943472,Flynn (Leonard R.) Elementary,31.7,43,62,21,24
-122.40544870287414,37.75171853149067,Bryant Elementary,31.53,42,70,18,17
-122.41535877160952,37.75521689516904,Chavez (Cesar) Elementary,29.96,38,49,39,25
-122.40514994536704,37.72064224917534,Burton (Phillip and Sala) Academic High,69.96,96,97,60,85
-122.4118122350452,37.71724682186198,Visitacion Valley Middle,51.5,84,87,31,67
-122.40490655366222,37.72794364440051,King Jr. (Martin Luther) Academic Middle,28.87,33,67,3,47
-122.40729799771124,37.72793512798768,Taylor (Edward R.) Elementary,24.47,23,53,38,5
-122.4103498473894,37.71268830032591,Visitacion Valley Elementary,23.23,19,58,16,13
-122.40694669675878,37.71873580559367,El Dorado Elementary,20.32,16,45,4,44
-122.41822113003316,37.72895333743526,Hillcrest Elementary,16.0,11,43,8,18
-122.48360740396032,37.73101918862761,Lowell High,90.97,99,60,88,100
-122.46629112414767,37.71617163092907,Ortega (Jose) Elementary,44.27,71,42,57,86
-122.486103341329,37.730619776010144,Lakeshore Alternative Elementary,29.27,34,23,59,74
-122.45886816971824,37.78228713657927,Roosevelt Middle,74.97,98,78,78,96
-122.4710030558374,37.78385381812768,Sutro Elementary,29.87,37,18,77,58
-122.4640163560572,37.776281439869706,McCoppin (Frank) Elementary,19.41,14,1,86,90
-122.464560963371,37.78384623463671,Peabody (George) Elementary,15.6,9,2,100,30
-122.45118624031188,37.745563387395805,Academy (The)- SF @McAteer,53.99,86,96,25,57
-122.45653215977929,37.75153161414221,Clarendon Alternative Elementary,49.1,77,27,93,93
-122.42558898186712,37.74063100307882,Huerta (Dolores) Elementary,48.75,75,47,69,76
-122.45118624031188,37.745563387395805,Asawa (Ruth) SF Sch of the Arts A Public School,39.55,60,51,32,87
-122.43108972775826,37.74256737296776,Mission Education Center,33.02,47,37,28,83
-122.43601353627037,37.733082895586335,Glen Park Elementary,26.56,29,35,30,54
-122.42729219999887,37.76140939168266,Mission High,54.86,89,93,33,59
-122.43863804589456,37.7534995512209,Alvarado Elementary,34.51,52,32,79,31
-122.4307701153482,37.76395156696111,Sanchez Elementary,32.94,46,59,37,21
-122.43680738639966,37.7671955868604,McKinley Elementary,30.77,40,16,89,52
-122.43171749953262,37.74908087742125,Lick (James) Middle,29.82,36,66,9,37
-122.44462675733456,37.757781201556895,Rooftop Elementary,25.11,24,25,62,26
-122.43634758218025,37.759141516310706,Milk (Harvey) Civil Rights Elementary,21.5,17,9,73,71
-122.42869174710164,37.76402732960156,Everett Middle,15.2,8,79,1,4
-122.44340251533548,37.8030908771488,Lilienthal (Claire) Elementary,40.88,65,31,87,61
-122.43636236549958,37.801764282165266,Marina Middle,35.98,54,65,17,49
-122.4264524275307,37.79818152404522,Sherman Elementary,13.85,3,15,64,14
