school_name,REPLACEMENT COSTS IN YEARS 1—5,OVERALL CAMPUS FCI,BUILDING FCI,EXTERIOR SITE FCI,Electrical System,Equipment,Exterior Enclosure,Fire Protection,Furnishings,HVAC System
Alamo Elementary,14767840,0.34,0.39,0.06,0.81,,0.13,0.0,0.0,1.05
Alvarado Elementary,17036439,0.43,0.45,0.25,0.55,0.09,0.45,0.0,0.32,1.14
Aptos Middle,28452813,0.24,0.24,0.11,0.52,,0.18,,,
Argonne Elementary,9395256,0.325,0.315,0.3,0.69,0.2,0.175,0.0,0.27,0.0
Asawa (Ruth) SF Sch of the Arts A Public School,22858974,0.18,0.14,0.49,0.04,1.09,0.05,0.0,0.17,
Balboa High,83040670,0.53,0.54,0.17,1.03,1.07,0.34,1.19,0.74,1.16
Brown Jr. (Willie L) Middle,2366103,0.04,0.04,0.0,0.0,,0.0,0.01,0.0,
Bryant Elementary,8878154,0.49,0.5,0.34,0.97,0.0,0.12,0.01,0.0,0.98
Buena Vista/ Horace Mann K-8,26012862,0.39,0.4,0.19,0.99,0.06,0.0,1.25,0.07,0.95
Burton (Phillip and Sala) Academic High,30758948,0.19,0.18,0.3,0.35,0.08,0.08,0.8,0.11,
Carmichael (Bessie)/FEC,11071392,0.275,0.265,0.54,0.6599999999999999,0.22,0.12,0.0,1.25,0.0
Carver (George Washington) Elementary,7613857,0.23,0.31,0.02,0.74,,0.05,0.0,,
Chavez (Cesar) Elementary,10527428,0.28,0.28,0.13,0.42,0.23,0.23,,,0.0
Chin (John Yehall) Elementary,748045,0.05,0.0,0.48,0.0,,0.0,0.0,0.0,
Chinese Immersion School at DeAvila,5410638,0.13,0.12,0.19,0.39,0.32,0.06,0.09,0.05,
Clarendon Alternative Elementary,3096103,0.09,0.08,0.14,0.1,0.27,0.0,0.11,0.34,
Cleveland Elementary,6167514,0.33,0.35,0.16,0.58,1.25,0.04,1.25,,0.88
Cobb (William L.) Elementary,3809275,0.16,0.18,0.06,0.22,0.0,0.0,0.0,,
Denman (James) Middle,27840365,0.38,0.4,0.04,0.77,,0.21,0.03,,1.18
Downtown High,5751848,0.15,0.16,0.01,0.38,0.0,0.38,0.0,0.46,
Drew (Charles) College Preparatory Academy,429748,0.02,0.02,0.0,0.02,0.07,,0.0,,
El Dorado Elementary,201659,0.01,0.0,0.08,0.0,,0.01,,,
Everett Middle,50951547,0.53,0.54,0.23,0.74,0.93,0.36,0.0,1.23,1.04
Feinstein (Dianne) Elementary,8648745,0.26,0.27,0.12,0.81,0.16,0.16,0.06,1.2,0.0
Flynn (Leonard R.) Elementary,11239843,0.21,0.21,0.15,1.08,,0.28,0.0,1.25,
Francisco Middle,22515157,0.31,0.32,0.17,0.7,,0.05,0.23,0.23,0.88
Galileo High,83385883,0.45,0.46,0.38,1.09,0.27,0.19,,1.09,1.08
Garfield Elementary,1035518,0.04,0.03,0.32,0.18,,0.0,0.0,0.0,
Giannini (A.P.) Middle,11609806,0.17,0.13,0.49,0.15,0.01,0.0,0.0,0.06,
Glen Park Elementary,8500561,0.25,0.26,0.1,0.72,0.16,0.0,0.0,0.0,
Grattan Elementary,10093972,0.38,0.4,0.09,0.51,,0.09,1.23,0.0,0.86
Guadalupe Elementary,2857990,0.1,0.11,0.04,0.0,0.0,0.0,0.57,0.0,
Harte (Bret) Elementary,14746267,0.28,0.31,0.04,0.51,,,,0.2,0.0
Hillcrest Elementary,7134902,0.2,0.21,0.16,0.14,,,,0.19,
Hoover (Herbert) Middle,23794337,0.3,0.32,0.07,0.79,0.14,,0.01,0.0,
Huerta (Dolores) Elementary,9759629,0.28,0.29,0.23,0.88,,0.15,0.17,0.26,
Independence High,1948285,0.1,0.09,0.2,0.54,0.05,0.05,0.05,0.0,
Jefferson Elementary,13534170,0.36,0.36,0.37,0.64,,0.07,0.0,0.0,1.11
Jordan (June) School for Equity,15562670,0.22,0.23,0.13,0.1,,0.58,0.0,,
Key (Francis Scott) Elementary,9592457,0.24,0.24,0.27,0.71,,0.04,,,
King (Thomas Starr) Elementary,5086789,0.15,0.16,0.01,0.22,0.0,0.22,0.0,0.0,
King Jr. (Martin Luther) Academic Middle,9105633,0.23,0.25,0.09,0.72,0.24,0.05,0.01,,
Lafayette Elementary,7482095,0.19,0.18,0.29,0.1,,0.03,,,
