school_name,asian_students,african_american_students,not_reported_students,filipino_students,hispanic_or_latino_students,two_or_more_races_students,white_students,pacific_islander_students,american_indian_or_alaska_native_students,asian_percent,african_american_percent,not_reported_percent,filipino_percent,hispanic_or_latino_percent,two_or_more_races_percent,white_percent,pacific_islander_percent,american_indian_or_alaska_native_percent
District Office,21,1,2,2,21,7,12,,,31.818181818181817,1.5151515151515151,3.0303030303030303,3.0303030303030303,31.818181818181817,10.606060606060606,18.181818181818183,,
KIPP Bayview Academy,3,62,,,95,9,,16,,1.6216216216216217,33.513513513513516,,,51.35135135135135,4.864864864864865,,8.64864864864865,
KIPP San Francisco Bay Academy,9,55,,3,178,5,12,4,,3.3834586466165413,20.676691729323306,,1.1278195488721803,66.9172932330827,1.8796992481203008,4.511278195488721,1.5037593984962405,
Five Keys Charter (SF Sheriff's),2,21,,1,112,7,9,1,,1.3071895424836601,13.725490196078432,,0.6535947712418301,73.20261437908496,4.57516339869281,5.88235294117647,0.6535947712418301,
Jordan (June) School for Equity,9,18,6,10,147,9,3,4,,4.368932038834951,8.737864077669903,2.912621359223301,4.854368932038835,71.35922330097088,4.368932038834951,1.4563106796116505,1.9417475728155338,
City Arts & Leadership Academy,4,32,11,10,324,12,12,1,1,0.9828009828009828,7.862407862407863,2.7027027027027026,2.457002457002457,79.60687960687962,2.9484029484029484,2.9484029484029484,0.2457002457002457,0.2457002457002457
Feinstein (Dianne) Elementary,134,9,19,13,40,41,127,,,34.9869451697128,2.3498694516971277,4.960835509138381,3.3942558746736298,10.443864229765012,10.704960835509137,33.15926892950392,,
Stockton (Commodore) Children Center,20,,2,,,,,,,90.9090909090909,,9.090909090909092,,,,,,
Noriega Children Center,30,,2,,2,6,4,,,68.18181818181817,,4.545454545454546,,4.545454545454546,13.636363636363635,9.090909090909092,,
Tule Elk Park Children Center,16,1,13,,13,11,35,,,17.97752808988764,1.1235955056179776,14.606741573033707,,14.606741573033707,12.359550561797752,39.325842696629216,,
McLaren (John) Children Centers,6,3,3,1,9,,3,3,,21.428571428571427,10.714285714285714,10.714285714285714,3.571428571428571,32.142857142857146,,10.714285714285714,10.714285714285714,
Five Keys Independence HS (SF Sheriff's),35,761,28,25,1912,112,237,26,36,1.1034047919293821,23.991172761664565,0.8827238335435058,0.7881462799495587,60.277427490542244,3.5308953341740232,7.471626733921815,0.819672131147541,1.1349306431273645
S.F. International High,41,2,3,3,323,,20,,,10.459183673469388,0.5102040816326531,0.7653061224489796,0.7653061224489796,82.39795918367348,,5.1020408163265305,,
Academy (The)- SF @McAteer,32,36,6,15,124,18,32,2,,12.075471698113208,13.584905660377359,2.2641509433962264,5.660377358490567,46.79245283018868,6.7924528301886795,12.075471698113208,0.7547169811320755,
Chinese Immersion School at DeAvila,287,4,19,2,19,35,16,,,75.13089005235602,1.0471204188481675,4.973821989528796,0.5235602094240838,4.973821989528796,9.162303664921465,4.18848167539267,,
San Francisco Public Montessori,5,16,12,1,30,16,30,2,,4.464285714285714,14.285714285714285,10.714285714285714,0.8928571428571428,26.785714285714285,14.285714285714285,26.785714285714285,1.7857142857142856,
Gateway Middle,30,54,,5,82,32,77,1,,10.676156583629894,19.217081850533805,,1.7793594306049825,29.181494661921707,11.387900355871885,27.402135231316727,0.3558718861209964,
Mission Preparatory,15,30,2,18,396,4,19,5,1,3.061224489795918,6.122448979591836,0.40816326530612246,3.6734693877551026,80.81632653061224,0.8163265306122449,3.877551020408163,1.0204081632653061,0.20408163265306123
KIPP San Francisco College Preparatory,1,65,,5,171,5,5,8,,0.38461538461538464,25.0,,1.9230769230769231,65.76923076923077,1.9230769230769231,1.9230769230769231,3.076923076923077,
Brown Jr. (Willie L) Middle,9,71,17,11,93,37,62,12,1,2.8753993610223643,22.683706070287542,5.431309904153355,3.5143769968051117,29.712460063897762,11.821086261980831,19.808306709265175,3.8338658146964857,0.3194888178913738
Wells (Ida B.) High,21,31,3,1,99,9,13,2,,11.731843575418994,17.318435754189945,1.675977653631285,0.5586592178770949,55.3072625698324,5.027932960893855,7.262569832402235,1.1173184357541899,
Downtown High,6,29,4,1,88,10,2,6,1,4.081632653061225,19.727891156462583,2.7210884353741496,0.6802721088435374,59.863945578231295,6.802721088435375,1.3605442176870748,4.081632653061225,0.6802721088435374
Independence High,15,30,5,5,63,25,53,,1,7.614213197969544,15.228426395939088,2.5380710659898478,2.5380710659898478,31.979695431472084,12.690355329949238,26.903553299492383,,0.5076142131979695
Wallenberg (Raoul) Traditional High,203,52,13,19,128,43,89,3,1,36.84210526315789,9.43738656987296,2.35934664246824,3.4482758620689653,23.23049001814882,7.80399274047187,16.152450090744104,0.5444646098003629,0.18148820326678766
Burton (Phillip and Sala) Academic High,321,92,17,105,414,41,18,20,3,31.134820562560623,8.923375363724539,1.6488845780795343,10.184287099903006,40.15518913676043,3.976721629485936,1.7458777885548011,1.939864209505335,0.2909796314258002
Balboa High,545,68,24,85,410,52,41,24,2,43.56514788169464,5.435651478816946,1.9184652278177456,6.794564348521183,32.77378097521982,4.156674660271783,3.277378097521982,1.9184652278177456,0.15987210231814547
Asawa (Ruth) SF Sch of the Arts A Public School,94,30,28,22,148,105,250,1,2,13.823529411764707,4.411764705882353,4.117647058823529,3.2352941176470593,21.764705882352942,15.441176470588236,36.76470588235294,0.14705882352941177,0.29411764705882354
Marshall (Thurgood) High,34,37,4,8,373,11,4,2,4,7.127882599580712,7.756813417190776,0.8385744234800839,1.6771488469601679,78.19706498951781,2.3060796645702304,0.8385744234800839,0.41928721174004197,0.8385744234800839
Life Learning Academy Charter,3,18,,,12,,8,,,7.317073170731707,43.90243902439025,,,29.268292682926827,,19.51219512195122,,
Gateway High,45,59,,10,192,41,126,,2,9.473684210526317,12.421052631578949,,2.1052631578947367,40.421052631578945,8.631578947368421,26.526315789473685,,0.42105263157894735
Galileo High,772,94,33,90,506,73,163,8,2,44.34233199310741,5.399195864445721,1.8954623779437105,5.1694428489373925,29.063756461803564,4.192992533026995,9.362435381964389,0.4595060310166571,0.11487650775416428
Lincoln (Abraham) High,918,98,46,63,571,115,203,19,4,45.06627393225332,4.810996563573884,2.258222876779578,3.0927835051546393,28.031418753068237,5.645557191948945,9.965635738831615,0.9327442317133039,0.19636720667648502
Lowell High,1185,66,68,145,450,210,409,4,3,46.653543307086615,2.5984251968503935,2.677165354330709,5.708661417322835,17.716535433070867,8.267716535433072,16.10236220472441,0.15748031496062992,0.11811023622047244
Mission High,47,132,21,23,746,31,80,1,3,4.3357933579335795,12.177121771217712,1.9372693726937271,2.121771217712177,68.81918819188192,2.859778597785978,7.380073800738007,0.09225092250922509,0.27675276752767525
O'Connell (John) High,6,48,11,19,353,15,22,4,5,1.2422360248447204,9.937888198757763,2.2774327122153206,3.9337474120082816,73.08488612836439,3.1055900621118013,4.554865424430641,0.8281573498964804,1.0351966873706004
Washington (George) High,1018,87,69,62,370,126,262,11,3,50.69721115537848,4.3326693227091635,3.436254980079681,3.087649402390438,18.426294820717132,6.274900398406374,13.047808764940239,0.5478087649402391,0.14940239043824702
Alamo Elementary,130,5,27,10,59,48,114,,,33.078880407124686,1.2722646310432568,6.870229007633588,2.5445292620865136,15.012722646310433,12.213740458015266,29.00763358778626,,
Alvarado Elementary,14,5,25,3,250,66,152,2,1,2.7027027027027026,0.9652509652509652,4.826254826254826,0.5791505791505791,48.26254826254826,12.741312741312742,29.343629343629345,0.3861003861003861,0.19305019305019305
Argonne Elementary,118,12,33,13,43,39,108,2,,32.065217391304344,3.260869565217391,8.967391304347826,3.532608695652174,11.684782608695652,10.597826086956522,29.347826086956523,0.5434782608695652,
Carmichael (Bessie)/FEC,37,96,42,125,160,41,47,5,4,6.642728904847396,17.235188509874327,7.5403949730700175,22.44165170556553,28.725314183123878,7.360861759425494,8.43806104129264,0.8976660682226212,0.718132854578097
Harte (Bret) Elementary,2,44,13,2,151,12,2,21,,0.8097165991902834,17.813765182186234,5.263157894736842,0.8097165991902834,61.1336032388664,4.8582995951417,0.8097165991902834,8.502024291497975,
Bryant Elementary,,13,10,,211,1,4,,1,,5.416666666666667,4.166666666666666,,87.91666666666667,0.4166666666666667,1.6666666666666667,,0.4166666666666667
Clarendon Alternative Elementary,149,17,31,11,61,121,139,,,28.166351606805296,3.213610586011342,5.8601134215500945,2.0793950850661624,11.531190926275993,22.873345935727787,26.27599243856333,,
Cleveland Elementary,7,5,12,11,260,6,1,3,1,2.287581699346405,1.6339869281045754,3.9215686274509802,3.594771241830065,84.9673202614379,1.9607843137254901,0.32679738562091504,0.9803921568627451,0.32679738562091504
Sloat (Commodore) Elementary,184,12,15,17,41,32,80,,,48.29396325459317,3.149606299212598,3.937007874015748,4.4619422572178475,10.761154855643044,8.398950131233596,20.99737532808399,,
Lau (Gordon J.) Elementary,572,3,20,5,35,10,5,,,88.0,0.46153846153846156,3.076923076923077,0.7692307692307693,5.384615384615385,1.5384615384615385,0.7692307692307693,,
Webster (Daniel) Elementary,22,23,11,9,147,37,106,,1,6.179775280898876,6.460674157303371,3.089887640449438,2.528089887640449,41.29213483146067,10.393258426966293,29.775280898876407,,0.2808988764044944
Milk (Harvey) Civil Rights Elementary,1,22,7,,32,20,70,2,,0.6493506493506493,14.285714285714285,4.545454545454546,,20.77922077922078,12.987012987012985,45.45454545454545,1.2987012987012987,
Thomas Edison Charter Academy,4,13,4,3,458,23,50,2,,0.718132854578097,2.333931777378815,0.718132854578097,0.5385996409335727,82.2262118491921,4.129263913824058,8.976660682226212,0.3590664272890485,
Taylor (Edward R.) Elementary,311,16,14,15,207,20,2,3,,52.89115646258503,2.7210884353741496,2.380952380952381,2.5510204081632653,35.204081632653065,3.4013605442176873,0.3401360544217687,0.5102040816326531,
