SITE NAME,ADDRESS,YEAR BUILT,LOT SQ FT,BUILDING SQ FT,PRIMARY PROGRAM,CLASSROOMS,STUDENT ENROLLMENT,ENROLLMENT CAPACITY,BOND INVESTMENTS SINCE 2003
A.P. Giannini Middle School,3151 Ortega Street,1954,383154,136392,MS,50,1178,1199,48244407
Abraham Lincoln High School,2162 24th Avenue,1940,704016,330200,HS,90,1920,2046,45013869
Alamo Elementary School,250 23rd Avenue,1926,60000,50420,ES,27,435,413,2862675
Alice Fong Yu Alternative School,1541 12th Avenue,1995,78007,42978,ES,24,586,594,4378810
Alvarado Elementary School,625 Douglass Street,1924,79247,51700,ES,33,472,518,2851168
Aptos Middle School,105 Aptos Avenue,1931,121974,168000,MS,49,855,904,20231647
Argonne Early Education School,750 - 16th Avenue,1950,38250,8275,EES,4,71,70,150000
Argonne Elementary School,680 18th Avenue,1997,68520,52000,ES,20,389,398,300000
Balboa High School,1000 Cayuga Avenue,1928,446040,261700,HS,70,1262,1296,23128311
Bessie Carmichael Elementary School,375 7th Street,2004,61250,56358,ES,25,401,478,400000
Bessie Carmichael Middle School,824 Harrison Street,1977,37325,22994,MS,8,191,198,300000
Bret Harte Elementary School,1035 Gilman Avenue,1953,204740,72359,ES,29,268,323,5379786
Bryant Elementary School,2641 25th Street,1970,40000,35764,ES,17,270,316,4345167
Buena Vista Horace Mann Community School,3351 23rd Street,1950,111527,111558,ES,37,591,618,46885828
Cesar Chavez Elementary School,825 Shotwell Street,1940,69515,53940,ES,29,443,463,6966780
Chinese Immersion School at DeAvila,1250 Waller Street,1896,53905,58582,ES,26,370,396,10737654
Civic Center Secondary School,727 Golden Gate Avenue,1911,48943,29060,HS,16,36,N/A,14670005
Claire Lilienthal Alternative School - Madison,3950 Sacramento Street,1920,43605,24919,ES,13,235,252,1042573
Claire Lilienthal Alternative School - Winfield Scott,3630 Divisadero Street,1936,75625,55747,ES,24,410,405,26607658
Clarendon Alternative Elementary School,500 Clarendon Ave,1961,135036,57410,ES,27,511,542,24936649
Cleveland Elementary School,455 Athens Street,1910,60000,28927,ES,18,318,396,7732115
Commodore Sloat Elementary School,50 Darien Way,1922,195266,59200,ES,17,371,395,2572968
Commodore Stockton Early Education School,1 Trenton Street,1924,10650,48426,EES,11,92,110,5938347
Daniel Webster Elementary School,465 Missouri Street,1924,55000,42800,ES,20,341,382,12074323
Dianne Feinstein Elementary School,2550 25th Avenue,2006,91257,62087,ES,27,406,421,300000
Dolores Huerta Elementary School,65 Chenery Street,1977,125819,60960,ES,23,345,384,3760843
Downtown High School,693 Vermont Street,1956,64500,58760,HS,18,134,225,7358112
Dr. Charles Drew College Preparatory Academy,50 Pomona Street,1972,120000,55234,ES,28,186,270,33115545
Dr. George Washington Carver Elementary School,1360 Oakdale Avenue,1974,108155,46418,ES,21,107,139,5739152
"Dr. Martin Luther King, Jr. Academic Middle School",350 Girard Street,1980,207200,72210,MS,29,400,457,9637557
Dr. William L. Cobb Elementary School,2725 California Street,1925,56718,36346,ES,17,156,192,9682639
E.R. Taylor Elementary School,423 Burrows Street,1929,96000,56113,ES,33,641,689,1196838
Edwin and Anita Lee Newcomer School,657 Merchant Street,2007,5845,11772,ES,10,30,72,2503203
El Dorado Elementary School,70 Delta Street,1980,203492,41378,ES,17,126,184,15596556
Everett Middle School,450 Church Street,1928,178298,155370,MS,38,598,637,12809961
