Unduplicated Student Poverty – Free or Reduced Price Meals Data 2023–2024,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2023-2024,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,0811,Directly funded,Y,6,12,223,154,69.1%,162,72.6%,222,153,68.9%,161,72.5%,Y
2023-2024,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1284,Directly funded,Y,K,8,186,155,83.3%,170,91.4%,158,131,82.9%,144,91.1%,Y
2023-2024,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1296,Directly funded,Y,K,8,865,257,29.7%,273,31.6%,718,206,28.7%,216,30.1%,Y
2023-2024,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1383,Directly funded,Y,K,8,349,106,30.4%,117,33.5%,270,88,32.6%,98,36.3%,Y
2023-2024,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,No ,N/A,N/A,N,K,12,44,44,100.0%,44,100.0%,42,42,100.0%,42,100.0%,Y
2023-2024,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,No ,N/A,N/A,N,K,12,58,40,69.0%,40,69.0%,56,38,67.9%,38,67.9%,Y
2023-2024,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,Yes,0398,Directly funded,Y,9,12,132,105,79.5%,124,93.9%,130,103,79.2%,122,93.8%,Y
2023-2024,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Yes,1707,Directly funded,Y,6,8,125,98,78.4%,123,98.4%,125,98,78.4%,123,98.4%,Y
2023-2024,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,1881,Directly funded,Y,K,12,505,120,23.8%,136,26.9%,478,116,24.3%,132,27.6%,Y
2023-2024,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,Yes,1888,Locally funded,N,10,12,157,76,48.4%,76,48.4%,69,45,65.2%,45,65.2%,Y
